0,simulataneous,b,b,1,0.4985861,,,offset,prop,rt
0,simulataneous,b,b,1,0.5623089,,,0,1,0.6500366
0,simulataneous,b,b,1,1.6221319,,,1,1,1.50501868
0,simulataneous,b,b,1,0.3283668,,,2,1,1.0817525
0,simulataneous,b,b,1,0.2387893,,,3,1,0.8539864
1,visual_first,v,v,1,0.3732014,,,,,
1,audio_first,s,s,1,0.932828,,,,,
1,audio_first,s,s,1,1.7195242,,,,,
1,visual_first,v,v,1,1.3886463,,,,,
1,audio_first,s,s,1,3.2013025,,,,,
1,visual_first,v,v,1,2.1251481,,,,,
1,audio_first,s,s,1,0.6606543,,,,,
1,visual_first,v,v,1,2.6021881,,,,,
1,audio_first,s,s,1,0.96408,,,,,
1,visual_first,v,v,1,1.0826139,,,,,
2,audio_first,s,s,1,0.8943171,,,,,
2,visual_first,v,v,1,0.5122682,,,,,
2,visual_first,v,v,1,0.7625713,,,,,
2,audio_first,s,s,1,0.7967015,,,,,
2,audio_first,s,s,1,1.9081278,,,,,
2,visual_first,v,v,1,0.9557833,,,,,
2,audio_first,s,s,1,1.1072475,,,,,
2,visual_first,v,v,1,1.4666171,,,,,
2,audio_first,s,s,1,1.3159364,,,,,
2,visual_first,v,v,1,1.0979548,,,,,
3,visual_first,v,v,1,0.6786371,,,,,
3,audio_first,s,s,1,1.6881027,,,,,
3,visual_first,v,v,1,1.1173598,,,,,
3,audio_first,s,s,1,0.6685972,,,,,
3,visual_first,v,v,1,1.0561481,,,,,
3,audio_first,s,s,1,0.771455,,,,,
3,visual_first,v,v,1,0.9570836,,,,,
3,audio_first,s,s,1,0.6794856,,,,,
3,visual_first,v,v,1,0.5193999,,,,,
3,audio_first,s,s,1,0.403595,,,,,
Offset,Order,key_resp_2.keys,correctresp,accuracy,key_resp_2.rt,,,,,
