Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,test_routine.started,visual_stim.started,sound_stim.started,visual_stim.stopped,sound_stim.stopped,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.003147400013403967,0.00836080001317896,8.002846799994586,,,,,,,,,,,,,,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
1,visual_first,0,0,0,1,8.0348493999918,,,,,8.0231260000146,8.0348493999918,9.002712466670589,9.035609200014733,10.002766099991277,9.994695400004275,9.994762499991339,10.002766099991277,10.002766099991277,11.131525900011184,v,1.1039270000183024,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
2,audio_first,0,1,1,4,11.141548000014154,,,,,11.133560599992052,13.137627299991436,11.15324903332706,14.13768980000168,12.153953400003957,14.12255160001223,14.12263699999312,14.13768980000168,14.13768980000168,14.523053800017806,s,0.3742181000125129,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
2,visual_first,0,2,2,3,14.538234700012254,,,,,14.524286400002893,14.538234700012254,16.53855376667731,15.538142100005643,17.53958040001453,17.525811800005613,17.525880300003337,17.53958040001453,17.53958040001453,18.458107000013115,v,0.9118514000147115,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
3,audio_first,0,3,3,6,18.47265109998989,,,,,18.459570300008636,21.474182200006908,18.472634766662182,22.474233999993885,19.472961299994495,22.459079499996733,22.459142400010023,22.474233999993885,22.474233999993885,23.44313240001793,s,0.9621039000048768,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
3,visual_first,0,4,4,5,23.45826990000205,,,,,23.444577599992044,23.45826990000205,26.458996566656666,24.458188499993412,,27.429823799990118,27.429908999998588,27.436530800012406,27.436530800012406,27.99518669999088,v,0.5420454000122845,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
0,simulataneous,0,5,5,0,28.010066100017866,,,,,27.99665869999444,28.010066100017866,28.009686466659574,29.010053400008474,,28.994947300001513,28.99501060001785,29.010053400008474,29.010053400008474,29.345868200005498,b,0.3261828000249807,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
1,audio_first,0,6,6,2,29.360142799996538,,,,,29.34732480000821,30.360903900000267,29.36020886665598,31.36089229999925,30.360903900000267,31.345881300017936,31.3459453000105,31.36089229999925,31.36089229999925,31.829332699999213,s,0.4570501999987755,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
0,simulataneous,1,0,7,0,31.844893400004366,,,,,31.830366500013042,31.844893400004366,31.8443835666733,32.84473430001526,32.84473430001526,32.83871820001514,32.83877269999357,32.84473430001526,32.84473430001526,34.36403369999607,b,1.5062795999983791,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
3,audio_first,1,1,8,6,34.37867589999223,,,,,34.365488800016465,37.380373499996495,34.378747766666734,38.380244500003755,35.38651270000264,38.36512550001498,38.36518789999536,38.380244500003755,38.380244500003755,39.54933529999107,s,1.1553603000065777,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
1,visual_first,1,2,9,1,39.564459300017916,,,,,39.55080110000563,39.564459300017916,40.564839266681034,40.56443339999532,41.56485769999563,41.55395130001125,41.554017799993744,41.56485769999563,41.56485769999563,42.650506500009215,v,1.0773845000076108,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
2,audio_first,1,3,10,4,42.66524840000784,,,,,42.65197549998993,44.66640250000637,42.66520996665737,45.66635580000002,,45.65118159999838,45.65123920000042,45.66635580000002,45.66635580000002,46.6020903000026,s,0.9187747999967542,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
2,visual_first,1,4,11,3,46.61714000001666,,,,,46.60356300001149,46.61714000001666,48.617446266671564,47.617098299990175,,49.58030200001667,49.58036859999993,49.587721299991244,49.587721299991244,50.819011200015666,v,1.228728600020986,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
3,visual_first,1,5,12,5,50.83528319999459,,,,,50.81963710000855,50.83528319999459,53.81957816667661,51.83526680001523,54.831125800003065,54.82445780001581,54.82452480000211,54.831125800003065,54.831125800003065,55.88899500001571,v,1.0472581000067294,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
1,audio_first,1,6,13,2,55.90360540000256,,,,,55.890506099996855,56.90426139999181,55.90371996668206,57.904343800008064,56.90426139999181,57.88890180000453,57.88894780000555,57.904343800008064,57.904343800008064,58.84059470001375,s,0.9335331000038423,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
3,audio_first,2,0,14,6,58.854760599992005,,,,,58.84205080001266,61.85641539999051,58.85483716667319,62.85632550000446,,62.84130759999971,62.84136990000843,62.85632550000446,62.85632550000446,63.72538920000079,s,0.8534402000077534,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
2,audio_first,2,1,15,4,63.740007100015646,,,,,63.72685959999217,65.74134010000853,63.739977266672454,66.74126420001267,,66.72599750000518,66.72605950001162,66.74126420001267,66.74126420001267,67.97612770000705,s,1.2336486999993213,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
1,visual_first,2,2,16,1,67.99195540000801,,,,,67.97677999999723,67.99195540000801,68.97576486666027,68.99182900000596,,69.92785430001095,69.92792270000791,69.93452569999499,69.93452569999499,71.37853099999484,v,1.4410938000073656,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
0,simulataneous,2,3,17,0,71.3934203000099,,,,,71.37998200001311,71.3934203000099,71.39287066666681,72.39336869999534,72.39336869999534,72.37858610000694,72.37864919999265,72.39336869999534,72.39336869999534,73.02862610001466,b,0.6178921000100672,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
3,visual_first,2,4,18,5,73.04403230000753,,,,,73.03008669998962,73.04403230000753,76.04461326665866,74.04376890001004,,77.03113829999347,77.03120339999441,77.03782170001068,77.03782170001068,77.89752800000133,v,0.8568431999883614,None,p2,001,2024-12-06_18h30.08.115,soloproj6,2024.1.5,None,2024-12-06 18h30.21.499948 +0530,
