Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,test_routine.started,sound_stim.started,sound_stim.stopped,visual_stim.started,visual_stim.stopped,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.004028900002595037,0.010893300001043826,8.026501300017117,8.000307600013912,,,,,,,,,,,,,,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,audio_first,0,0,0,6,8.026501300017117,,,,,,8.020181900006719,8.032533633326725,9.032443700009026,11.000195900007384,12.000154700013809,11.98463720001746,11.984685600007651,12.000154700013809,12.000154700013809,13.15912880000542,s,1.1466209999925923,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,audio_first,0,1,1,2,13.169063300010748,,,,,,13.16102190001402,13.167379966678952,,14.16809540000395,15.168080400006147,15.153063300007489,15.153128700010711,15.168080400006147,15.168080400006147,16.90430729999207,v,1.7301030999806244,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
0,simulataneous,0,2,2,0,16.919135600008303,,,,,,16.90575340000214,16.918827066667532,17.91912480001338,16.919135600008303,17.91912480001338,17.910875500005204,17.91094190001604,17.91912480001338,17.91912480001338,18.604705600009765,b,0.6698281000135466,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,visual_first,0,3,3,3,18.619799600011902,,,,,,18.60620549999294,20.62011806667239,21.62059199999203,18.619799600011902,19.619785000017146,21.61289960000431,21.612966200016672,21.62059199999203,21.62059199999203,22.489399200014304,v,0.8552448999835178,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,visual_first,0,4,4,5,22.50433329999214,,,,,,22.490726099989843,25.5053462666731,,22.50433329999214,23.504587600007653,26.471235000004526,26.471309799992014,26.478352200007066,26.478352200007066,27.224755000002915,v,0.7333714000124019,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,0,5,5,4,27.239313300000504,,,,,,27.22617929999251,27.239485066678995,28.239700800011633,29.240559500001837,30.240437200001907,30.225003200001083,30.22503999999026,30.240437200001907,30.240437200001907,30.659448599995812,s,0.4125501000089571,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,0,6,6,1,30.674473399994895,,,,,,30.660883000004105,31.67479296666376,,30.674473399994895,31.674405900004786,32.64278280001599,32.64284960000077,32.64957239999785,32.64957239999785,33.244084500009194,v,0.5918861999816727,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,1,0,7,1,33.25877859999309,,,,,,33.245600399997784,34.25914246667914,35.25920760000008,33.25877859999309,34.258701500017196,35.245843500015326,35.24591260001762,35.25920760000008,35.25920760000008,35.74460510001518,v,0.4737162000092212,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,1,1,8,4,35.75925020000432,,,,,,35.74605350001366,35.75930506666579,,37.760540699993726,38.76052219999838,38.74533910001628,38.74541090001003,38.76052219999838,38.76052219999838,39.09641240001656,s,0.3330460000142921,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
