Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,test_routine.started,sound_stim.started,visual_stim.started,sound_stim.stopped,visual_stim.stopped,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0029439000063575804,0.00785239998367615,8.010254499997245,7.994679399998859,,,,,,,,,,,,,,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,audio_first,0,0,0,2,8.010254499997245,,,,,,8.000539100001333,8.010831366675363,9.02882999999565,9.02882999999565,10.027909399999771,10.012930700002471,10.012997999991057,10.027909399999771,10.027909399999771,11.03778539999621,s,0.9868832000065595,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,audio_first,0,1,1,6,11.048157799988985,,,,,,11.03980440000305,11.044958766670122,14.046533999993699,12.045321199984755,15.046670000010636,15.031074500002433,15.031095499987714,15.046670000010636,15.046670000010636,15.69740040000761,s,0.6422446000215132,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
0,simulataneous,0,2,2,0,15.713630599988392,,,,,,15.697788199991919,15.713262266657937,15.713630599988392,,16.713669399992796,16.697855100006564,16.697873299999628,16.713669399992796,16.713669399992796,17.898168299987447,b,1.1803502999828197,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,visual_first,0,3,3,1,17.914571200002683,,,,,,17.89855899999384,18.898352366672285,17.914571200002683,,18.914657399989665,19.868267799989553,19.86833579998347,19.874918199988315,19.874918199988315,20.81751369999256,v,0.9273363999964204,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,visual_first,0,4,4,5,20.832441600010497,,,,,,20.818939999997383,23.83313186664988,20.832441600010497,,21.8323768999835,24.807341200008523,24.80741469998611,24.816998800000874,24.816998800000874,25.35264569998253,v,0.524946200021077,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,visual_first,0,5,5,3,25.367580199992517,,,,,,25.35407229998964,27.3678743666717,25.367580199992517,28.36829320000834,26.367525200010277,28.357972199999494,28.358038899983512,28.36829320000834,28.36829320000834,28.77036520000547,s,0.39688340001157485,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,audio_first,0,6,6,4,28.78512889999547,,,,,,28.771782700001495,28.785076566655576,30.786376700008987,,31.786270299984608,31.77133839999442,31.771401000005426,31.786270299984608,31.786270299984608,34.35642279998865,v,2.567980299994815,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,visual_first,1,0,7,3,34.37092129999655,,,,,,34.35783269998501,36.3712794666683,34.37092129999655,,35.370907200005604,37.31665580000845,37.316731300001265,37.32392500000424,37.32392500000424,37.87431189999916,v,0.5475498999876436,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,audio_first,1,1,8,4,37.888661700009834,,,,,,37.875738500006264,37.8886402666724,39.88981530000456,,40.889766499982215,40.874608999991324,40.874672600009944,40.889766499982215,40.889766499982215,41.24192060000496,s,0.33853070001350716,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
