Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,test_routine.started,visual_stim.started,visual_stim.stopped,sound_stim.started,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,sound_stim.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.0041705000039655715,0.012694100005319342,8.003272600006312,,,,,,,,,,,,,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,visual_first,0,0,0,3,8.035422100016149,,,,,8.02326760001597,8.035422100016149,9.03619750001235,10.003254266692482,10.976651000004495,10.9767224000243,10.98696540002129,10.98696540002129,11.796350800024811,v,0.7906500999815762,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
0,simulataneous,0,1,1,0,11.810084800003096,,,,,11.798418200021842,11.810084800003096,12.829974899999797,11.803924066687857,12.820463500014739,12.820528200012632,12.829974899999797,12.829974899999797,13.123182800016366,b,0.2873709999839775,None,12.819243300007656,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,audio_first,0,2,2,6,13.137713800009806,,,,,13.1246100999997,16.13941280002473,17.139382000023033,13.137808166681014,17.124253000016324,17.12431730001117,17.139382000023033,17.139382000023033,17.608154500019737,s,0.4570421999960672,None,14.138085500017041,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,audio_first,0,3,3,4,17.622765600011917,,,,,17.609620500006713,19.624063200026285,20.624046800017823,17.622822266687095,20.60888100002194,20.608945800020592,20.624046800017823,20.624046800017823,21.47659260002547,s,0.8476953999779653,None,18.630695200001355,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,visual_first,0,4,4,1,21.491391800023848,,,,,21.478019800008042,21.491391800023848,22.49131790001411,22.49182636666616,23.489498600014485,23.48956650000764,23.496148100006394,23.496148100006394,24.260708000016166,v,0.7506218000198714,None,23.496148100006394,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,audio_first,0,5,5,2,24.275320200016722,,,,,24.26213800002006,25.27612730002147,26.276147000025958,24.275390566679803,26.260968600021442,26.26103290001629,26.276147000025958,26.276147000025958,27.828773600020213,b,1.5393336999986786,None,25.27612730002147,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,visual_first,0,6,6,5,27.843788700003643,,,,,27.83019500001683,27.843788700003643,28.843739100004314,30.84456296667146,31.834084600006463,31.834150700015016,31.844934799999464,31.844934799999464,37.48260190000292,v,5.6348373000219,None,31.844934799999464,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,audio_first,1,0,7,6,37.49711700002081,,,,,37.48405379999895,40.49866180002573,41.498694900015835,37.4970592666689,41.483493900013855,41.483557700004894,41.498694900015835,41.498694900015835,42.06758230002015,s,0.5615984000032768,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
1,visual_first,1,1,8,1,42.08260990001145,,,,,42.06885930002318,42.08260990001145,43.08252029999858,43.08296206666661,44.0176273000252,44.01769140001852,44.03300300001865,44.03300300001865,45.43545150000136,v,1.386678499984555,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
