trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,polygon.started,grating.started,key_resp.started,polygon.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.037122099893167615,,0.018978299805894494,0.037122099893167615,0.5558523999061435,0.5558523999061435,0.5710330998990685,0.8556336998008192,5.684443600010127,right,10.0,1,1,5.1190065001137555,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
1,2,8.0,5.7054720998276025,,5.6846666999626905,5.7054720998276025,6.1910996998194605,6.1910996998194605,6.20781739987433,6.491109299939126,6.81042919983156,right,8.0,1,1,0.6143680999521166,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
2,1,6.0,6.824609299888834,,6.810622199904174,6.824609299888834,7.325058699818328,7.325058699818328,7.325058699818328,7.625130699947476,10.695253500016406,left,-6.0,0,0,3.3575087999925017,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
3,1,7.0,10.70954309985973,,10.695466100005433,10.70954309985973,11.20990279992111,11.20990279992111,11.20990279992111,11.509902199963108,12.046651699813083,left,-7.0,1,1,0.8340264998842031,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
4,1,7.0,12.06001939997077,,12.046863499796018,12.06001939997077,12.560490599833429,12.560490599833429,12.560490599833429,12.860361299943179,13.079112799838185,right,7.0,1,1,0.5075421000365168,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
5,1,7.0,13.093824699986726,,13.079316599993035,13.093824699986726,13.59409759985283,13.59409759985283,13.59409759985283,13.894061099970713,14.746567299822345,left,-7.0,1,1,1.1361471998970956,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
6,1,6.0,14.761186699848622,,14.746773299993947,14.761186699848622,15.261362999910489,15.261362999910489,15.261362999910489,15.561552200000733,16.096917499788105,left,-6.0,1,1,0.8178379000164568,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
7,1,6.0,16.11165629979223,,16.097120799822733,16.11165629979223,16.611271899892017,16.611271899892017,16.611271899892017,16.91195319988765,17.64769049989991,left,-6.0,1,1,1.0211049998179078,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
8,1,6.0,17.66231339983642,,17.647901199990883,17.66231339983642,18.162311799824238,18.162311799824238,18.162311799824238,18.462238600011915,25.850087799830362,right,6.0,1,1,7.670547500019893,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
9,1,5.0,25.86517669982277,,25.8502783998847,25.86517669982277,26.365451499819756,26.365451499819756,26.365451499819756,26.66545999981463,27.06760359997861,right,5.0,1,1,0.6918669000733644,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
10,1,5.0,27.082366899820045,,27.067789899883792,27.082366899820045,27.58287990000099,27.58287990000099,27.58287990000099,27.882714599836618,32.370112099917606,right,5.0,1,1,4.784188500139862,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
11,0.5,5.0,32.38445609994233,,32.370314799947664,32.38445609994233,32.88483509980142,32.88483509980142,32.88483509980142,33.18480429984629,33.67034709989093,left,-5.0,0,0,0.7753067000303417,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
12,0.5,5.5,33.68500859988853,,33.67056229989976,33.68500859988853,34.18526309984736,34.18526309984736,34.18526309984736,34.48522779997438,35.11846499983221,right,5.5,1,1,0.9167807998601347,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
13,0.5,5.5,35.133944399887696,,35.11856169998646,35.133944399887696,35.61855749995448,35.61855749995448,35.63576689991169,35.91920549981296,37.63866909989156,right,5.5,1,1,2.0146517001558095,315295,001,2024-09-11_12h12.12.419,adaptivesc,2024.1.5,None,2024-09-11 12h12.16.792456 +0530,
,,,37.65312229981646,,37.63887389982119,37.65312229981646,38.153400799958035,38.153400799958035,38.153400799958035,38.453432499896735,,,,,,,,,,,,,,
