stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0261346,,0.0089513,0.0261346,0.5256673,0.5256673,0.5436437,0.8262032,1.0142154,left,-10,,1,1,0.4257126,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
1,1,8,1.0247984,,1.0142807,1.0247984,1.5259906,1.5259906,1.5259906,1.8269407,1.894315,right,8,,0,0,0.3561432,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
2,1,9,1.9097476,,1.8944303,1.9097476,2.410325,2.410325,2.410325,2.7102516,2.8114603,left,-9,,1,1,0.3877959,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
3,1,9,2.826057,,2.8115655,2.826057,3.326975,3.326975,3.326975,3.6270358,3.6618397,left,-9,,1,1,0.3328165,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
4,1,9,3.6761994,,3.6619505,3.6761994,4.1770837,4.1770837,4.1770837,4.4763993,4.5625412,left,-9,,1,1,0.3774412,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
5,1,8,4.5774127,,4.5626939,4.5774127,5.0787187,5.0787187,5.0787187,5.3937589,5.5114653,right,8,,1,1,0.4290068,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
6,0.5,8,5.52576,,5.5115591,5.52576,6.0270558,6.0270558,6.0270558,6.3270447,6.3613346,right,8,,0,0,0.3272073,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
7,0.5,8.5,6.376857,,6.3614465,6.376857,6.8771938,6.8771938,6.8771938,7.1769222,7.2960698,left,-8.5,,1,1,0.4089067,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
8,0.5,8.5,7.3096179,,7.2961648,7.3096179,7.8102934,7.8102934,7.8102934,8.1102044,8.2292236,right,8.5,,1,1,0.415361,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
9,0.5,8.5,8.24358,,8.229356,8.24358,8.7435435,8.7435435,8.7435435,9.0437537,9.0779358,left,-8.5,,1,1,0.3254031,582568,1,2024-09-12_13h03.34.284,Adaptive staircase,2024.1.5,None,2024-09-12 13h03.38.652458 +0530
