condition,textbox.text,,,,
exp,20,,,,
exp,20,,,,
exp,400,,,EXPECTED,265.7070707
unexp,350,,,UNEXPECTED,262.7551546
exp,500,,,DIFFERENCE,-2.951916068
exp,333,,,,
exp,200,,,,
unexp,100,,,,
unexp,425,,,,
exp,200,,,,
exp,150,,,,
exp,175,,,,
exp,125,,,,
exp,100,,,,
exp,70,,,,
unexp,100,,,,
exp,100,,,,
exp,90,,,,
unexp,253,,,,
unexp,110,,,,
exp,279,,,,
exp,800,,,,
exp,90,,,,
exp,40,,,,
exp,110,,,,
unexp,99,,,,
exp,60,,,,
exp,50,,,,
exp,350,,,,
exp,90,,,,
exp,50,,,,
exp,170,,,,
exp,50,,,,
exp,60,,,,
unexp,66,,,,
unexp,99,,,,
exp,50,,,,
exp,60,,,,
exp,50,,,,
exp,65,,,,
exp,70,,,,
unexp,55,,,,
unexp,55,,,,
unexp,56,,,,
exp,60,,,,
exp,90,,,,
exp,50,,,,
exp,65,,,,
exp,40,,,,
exp,40,,,,
exp,55,,,,
exp,80,,,,
unexp,56,,,,
exp,40,,,,
exp,26,,,,
exp,31,,,,
unexp,71,,,,
exp,150,,,,
exp,50,,,,
unexp,60,,,,
unexp,140,,,,
unexp,55,,,,
exp,60,,,,
exp,90,,,,
exp,90,,,,
exp,50,,,,
exp,70,,,,
exp,50,,,,
exp,240,,,,
exp,90,,,,
unexp,110,,,,
exp,80,,,,
unexp,380,,,,
exp,50,,,,
exp,60,,,,
exp,180,,,,
exp,90,,,,
exp,80,,,,
exp,80,,,,
exp,50,,,,
unexp,80,,,,
exp,60,,,,
exp,60,,,,
unexp,70,,,,
exp,80,,,,
exp,90,,,,
exp,80,,,,
unexp,110,,,,
exp,90,,,,
exp,100,,,,
exp,60,,,,
exp,40,,,,
exp,70,,,,
unexp,90,,,,
exp,60,,,,
unexp,70,,,,
exp,90,,,,
exp,60,,,,
exp,80,,,,
exp,110,,,,
unexp,80,,,,
unexp,100,,,,
exp,90,,,,
exp,110,,,,
exp,90,,,,
unexp,100,,,,
exp,140,,,,
exp,90,,,,
exp,90,,,,
exp,90,,,,
exp,190,,,,
unexp,110,,,,
exp,80,,,,
exp,54,,,,
exp,90,,,,
unexp,80,,,,
unexp,90,,,,
exp,110,,,,
exp,80,,,,
exp,80,,,,
exp,90,,,,
exp,50,,,,
exp,40,,,,
exp,60,,,,
unexp,60,,,,
exp,70,,,,
exp,80,,,,
exp,90,,,,
unexp,50,,,,
unexp,50,,,,
exp,60,,,,
exp,80,,,,
exp,60,,,,
unexp,80,,,,
unexp,70,,,,
exp,55,,,,
exp,190,,,,
exp,890,,,,
exp,99,,,,
unexp,70,,,,
exp,110,,,,
exp,220,,,,
exp,110,,,,
exp,120,,,,
unexp,59,,,,
exp,266,,,,
unexp,756,,,,
exp,430,,,,
exp,250,,,,
exp,230,,,,
exp,460,,,,
exp,80,,,,
exp,110,,,,
exp,230,,,,
unexp,150,,,,
exp,140,,,,
exp,650,,,,
exp,269,,,,
unexp,186,,,,
exp,250,,,,
exp,635,,,,
exp,85,,,,
exp,132,,,,
exp,110,,,,
exp,50,,,,
exp,250,,,,
unexp,196,,,,
unexp,489,,,,
exp,152,,,,
unexp,56,,,,
exp,189,,,,
exp,86,,,,
unexp,135,,,,
exp,146,,,,
exp,56,,,,
exp,469,,,,
exp,563,,,,
exp,769,,,,
exp,634,,,,
unexp,86,,,,
exp,46,,,,
exp,99,,,,
exp,10,,,,
exp,64,,,,
exp,156,,,,
exp,139,,,,
exp,356,,,,
unexp,126,,,,
unexp,126,,,,
exp,100,,,,
exp,156,,,,
unexp,389,,,,
exp,163,,,,
unexp,286,,,,
exp,698,,,,
exp,225,,,,
exp,156,,,,
exp,154,,,,
unexp,136,,,,
exp,203,,,,
exp,156,,,,
exp,89,,,,
exp,93,,,,
unexp,456,,,,
exp,634,,,,
exp,156,,,,
exp,112,,,,
exp,145,,,,
exp,110,,,,
unexp,296,,,,
exp,561,,,,
exp,456,,,,
unexp,153,,,,
exp,265,,,,
unexp,111,,,,
exp,659,,,,
exp,265,,,,
unexp,256,,,,
exp,135,,,,
exp,693,,,,
exp,763,,,,
unexp,999,,,,
exp,111,,,,
exp,369,,,,
unexp,456,,,,
exp,123,,,,
exp,96,,,,
exp,123,,,,
exp,562,,,,
unexp,230,,,,
exp,200,,,,
exp,600,,,,
unexp,123,,,,
exp,123,,,,
exp,125,,,,
exp,563,,,,
exp,356,,,,
unexp,362,,,,
exp,560,,,,
exp,110,,,,
exp,315,,,,
unexp,653,,,,
exp,123,,,,
exp,126,,,,
exp,265,,,,
unexp,125,,,,
unexp,99,,,,
exp,265,,,,
exp,123,,,,
exp,365,,,,
exp,235,,,,
exp,354,,,,
exp,236,,,,
exp,635,,,,
exp,236,,,,
exp,123,,,,
unexp,235,,,,
exp,363,,,,
exp,156,,,,
unexp,160,,,,
unexp,180,,,,
exp,230,,,,
exp,260,,,,
exp,115,,,,
exp,135,,,,
exp,152,,,,
unexp,365,,,,
exp,265,,,,
unexp,262,,,,
exp,365,,,,
exp,134,,,,
exp,365,,,,
exp,356,,,,
unexp,163,,,,
exp,369,,,,
exp,235,,,,
exp,126,,,,
unexp,365,,,,
exp,235,,,,
unexp,236,,,,
exp,653,,,,
exp,222,,,,
exp,121,,,,
exp,765,,,,
unexp,235,,,,
exp,156,,,,
exp,265,,,,
exp,243,,,,
exp,364,,,,
exp,485,,,,
exp,540,,,,
unexp,86,,,,
unexp,520,,,,
exp,523,,,,
exp,514,,,,
exp,532,,,,
exp,236,,,,
exp,457,,,,
exp,213,,,,
unexp,652,,,,
exp,461,,,,
exp,524,,,,
exp,620,,,,
unexp,451,,,,
unexp,126,,,,
exp,521,,,,
exp,166,,,,
exp,569,,,,
exp,693,,,,
unexp,693,,,,
exp,896,,,,
exp,256,,,,
exp,569,,,,
unexp,521,,,,
unexp,215,,,,
exp,452,,,,
exp,324,,,,
exp,521,,,,
exp,782,,,,
exp,250,,,,
unexp,324,,,,
exp,658,,,,
exp,745,,,,
exp,552,,,,
exp,325,,,,
exp,250,,,,
unexp,462,,,,
exp,574,,,,
unexp,325,,,,
exp,987,,,,
exp,512,,,,
exp,546,,,,
exp,754,,,,
exp,625,,,,
unexp,352,,,,
exp,514,,,,
exp,157,,,,
unexp,235,,,,
exp,527,,,,
unexp,754,,,,
exp,230,,,,
exp,543,,,,
exp,896,,,,
exp,213,,,,
exp,564,,,,
unexp,521,,,,
exp,456,,,,
exp,541,,,,
exp,352,,,,
exp,652,,,,
unexp,854,,,,
exp,364,,,,
exp,241,,,,
exp,562,,,,
unexp,354,,,,
exp,154,,,,
exp,458,,,,
exp,254,,,,
unexp,652,,,,
exp,354,,,,
exp,654,,,,
unexp,125,,,,
unexp,365,,,,
exp,452,,,,
exp,752,,,,
exp,154,,,,
exp,541,,,,
exp,265,,,,
exp,523,,,,
unexp,352,,,,
exp,654,,,,
exp,352,,,,
exp,512,,,,
exp,562,,,,
exp,452,,,,
exp,147,,,,
exp,547,,,,
exp,421,,,,
exp,268,,,,
unexp,524,,,,
unexp,356,,,,
unexp,125,,,,
exp,854,,,,
exp,451,,,,
exp,257,,,,
exp,562,,,,
exp,215,,,,
unexp,250,,,,
exp,546,,,,
unexp,230,,,,
unexp,532,,,,
exp,574,,,,
exp,521,,,,
