key_resp.corr,key_resp.rt,,,,
1,1.8277732,,1.8277732,19.2590416,-17.4312684
1,0.7968478,,0.7968478,0.6055241,0.1913237
1,0.6347302,,0.6347302,0.5946036,0.0401266
1,0.3547627,,0.3547627,1.5870733,-1.2323106
1,0.3748371,,0.3748371,0.7498676,-0.3750305
1,0.4523412,,0.4523412,0.5294557,-0.0771145
1,0.6094041,,0.6094041,0.6840348,-0.0746307
1,0.5124973,,0.5124973,0.4094144,0.1030829
1,0.4381655,,0.4381655,0.4318299,0.0063356
1,0.4389538,,0.4389538,0.3461796,0.0927742
1,0.5279098,,0.5279098,0.4408523,0.0870575
1,0.4140048,,0.4140048,0.4608138,-0.046809
1,0.4142284,,0.4142284,0.4031256,0.0111028
1,0.6552784,,0.6552784,0.3978929,0.2573855
1,0.6171345,,0.6171345,0.3600425,0.257092
1,0.446924,,0.446924,0.4568964,-0.0099724
1,0.4883481,,0.4883481,0.5052936,-0.0169455
1,0.5952964,,0.5952964,0.4664231,0.1288733
1,0.6699746,,0.6699746,0.4643625,0.2056121
1,0.4464509,,0.4464509,0.3808104,0.0656405
1,0.4176325,,0.4176325,0.4787046,-0.0610721
1,0.614967,,0.614967,0.4511831,0.1637839
1,0.4296669,,0.4296669,0.5275747,-0.0979078
1,0.4261437,,0.4261437,0.4972697,-0.071126
1,0.4501738,,0.4501738,0.8118153,-0.3616415
1,0.6732282,,0.6732282,0.4038784,0.2693498
1,0.5283189,,0.5283189,0.3262677,0.2020512
1,0.4099276,,0.4099276,0.9969716,-0.587044
1,0.409713,,0.409713,0.3875838,0.0221292
1,0.6336892,,0.6336892,0.4246691,0.2090201
1,0.5460569,,0.5460569,0.511529,0.0345279
1,0.4874539,,0.4874539,0.4002653,0.0871886
1,0.5498911,,0.5498911,0.4296393,0.1202518
1,0.3990971,,0.3990971,0.6495981,-0.250501
1,0.5589156,,0.5589156,0.3224275,0.2364881
1,0.3592107,,0.3592107,0.4251998,-0.0659891
1,0.4660395,,0.4660395,1.1402987,-0.6742592
1,0.7525205,,0.7525205,0.4207771,0.3317434
1,0.566996,,0.566996,0.5435992,0.0233968
1,0.6232656,,0.6232656,0.4187814,0.2044842
1,0.4535936,,0.4535936,0.324263,0.1293306
1,0.5230108,,0.5230108,0.64706,-0.1240492
1,0.4044169,,0.4044169,0.4002953,0.0041216
1,0.4549476,,0.4549476,0.3515034,0.1034442
1,0.4757558,,0.4757558,0.3839845,0.0917713
