key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
up,0,-4,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-1,,,,1,
down,1,-2,,,,,1
down,1,3,,,,,1
down,1,2,,,,,1
down,1,1,,,,,1
up,1,0,,1,,,
down,1,-1,,,,,1
down,0,0,,,1,,
down,1,4,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
up,0,-2,,,,1,
down,1,-5,,,,,1
up,1,0,,1,,,
down,1,-5,,,,,1
up,1,0,,1,,,
down,0,0,,,1,,
down,1,0,,1,1,,
down,0,0,,,1,,
down,1,-1,,,,,1
down,1,-2,,,,,1
down,1,0,,1,1,,
down,1,1,,,,,1
down,0,0,,,1,,
up,0,-1,,,,1,
down,1,-5,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,1,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
down,1,4,,,,,1
up,0,-1,,,,1,
down,1,3,,,,,1
down,1,0,,,1,,
down,1,0,,,1,,
down,0,0,,,1,,
down,1,-5,,,,,1
down,0,0,,,1,,
down,1,-5,,,,,1
up,0,-1,,,,1,
up,1,0,,,,,
down,1,3,,,,,1
down,0,0,,,1,,
up,1,0,,,,,
down,1,-5,,,,,1
up,1,0,,1,,,
up,0,1,,,,1,
down,1,4,,,,,1
down,0,0,,,1,,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,4,,,,,1
down,1,3,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,0,-3,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,2,,,,,1
down,1,4,,,,,1
up,1,0,,1,,,
down,1,0,,,1,,
down,0,0,,,1,,
down,0,0,,,1,,
down,1,4,,,,,1
down,0,0,,,1,,
down,1,2,,,,,1
up,0,-4,,,,1,
down,0,0,,,1,,
down,0,0,,,1,,
up,0,2,,,,1,
up,0,1,,,,1,
up,1,0,,1,,,
up,0,4,,,,1,
down,0,0,,,1,,
down,1,2,,,,,1
down,1,0,,,1,,
down,1,-5,,,,,1
down,0,0,,,1,,
down,0,0,,,1,,
up,0,0,,1,,,
up,1,0,,1,,,
down,0,0,,,1,,
down,1,-4,,,,,1
up,0,-2,,,,1,
down,1,2,,,,,1
down,1,-1,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
,,,,,,,
,,,,23,33,13,31
,,,,,,,
,,,,,,,
,,,,prop hit,0.410714286,,
,,,,prop fa,0.295454545,,
,,,,,,,
,,,,d-prime,0.311811152,,
,,,,c criterion,0.38161353,,
,,,,,,,
,,,,,conservative bias,,
