word,color,stim_cond,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
RED,red,C,r,0,2,2,0,5.7873173,,,,,5.7751628,5.7873173,6.2871274,6.2871274,6.2871274,8.2241008,r,1,1.9200637,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
BLUE,blue,C,b,0,3,3,3,8.2395745,,,,,8.2261443,8.2395745,8.7385331,8.7385331,8.7385331,9.5076794,b,1,0.7539684,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
BLUE,blue,C,b,1,0,4,3,9.5220576,,,,,9.5097052,9.5220576,10.0223418,10.0223418,10.0223418,10.6580087,b,1,0.6254386,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
RED,red,C,r,1,1,5,0,10.6738192,,,,,10.6600304,10.6738192,11.1726983,11.1726983,11.1726983,12.1742411,r,1,0.9885918,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
BLUE,blue,C,b,2,2,10,3,18.0603082,,,,,18.0464681,18.0603082,18.5589564,18.5589564,18.5589564,19.444584,b,1,0.8685305,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
RED,red,C,r,2,3,11,0,19.4598255,,,,,19.4466065,19.4598255,19.9594519,19.9594519,19.9594519,20.7285485,r,1,0.7520634,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
BLUE,blue,C,b,3,2,14,3,24.2124131,,,,,24.1986075,24.2124131,24.7112028,24.7112028,24.7112028,25.1803812,b,1,0.465004,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
RED,red,C,r,3,3,15,0,25.1963341,,,,,25.1824393,25.1963341,25.69503,25.69503,25.69503,26.1972077,r,1,0.4915898,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
BLUE,blue,C,b,4,1,17,3,27.1964743,,,,,27.1830714,27.1964743,27.6956948,27.6956948,27.6956948,28.2650724,b,1,0.5657821,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
RED,red,C,r,4,2,18,0,28.280824,,,,,28.2670875,28.280824,28.7794608,28.7794608,28.7794608,29.148401,b,0,0.351923,None,,,,,243040,1,2024-08-16_11h52.19.975,strooptask,2024.1.5,None,2024-08-16 11h52.29.329589 +0530
