word,color,stim_cond,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.002911499992478639,0.006770300009520724,1.0419261000060942,1.000905299995793,,,,,,,,,,,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,red,C,r,0,0,0,0,1.0419261000060942,,,,,,1.0218230999889784,1.0419261000060942,1.4999737000034656,1.4999737000034656,1.4999737000034656,3.260566100012511,r,1,1.7491928999952506,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
YELLOW,yellow,C,y,0,1,1,2,3.299108300008811,,,,,,3.2636709999933373,3.299108300008811,3.7674494000093546,3.7674494000093546,3.7674494000093546,4.987148999993224,y,1,1.208478099986678,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
BLUE,blue,C,b,0,2,2,3,5.010538000002271,,,,,,4.98907589999726,5.010538000002271,5.501467199996114,5.501467199996114,5.501467199996114,22.610229299985804,r,0,17.103976300015347,None,10.503505800006678,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,blue,I,b,0,3,3,1,22.625962699996307,,,,,,22.612131100002443,22.625962699996307,23.12493990000803,23.12493990000803,23.12493990000803,24.377638900012244,b,1,1.2396565999952145,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,red,C,r,1,0,4,0,24.392084899998736,,,,,,24.37951920001069,24.392084899998736,24.892264099995373,24.892264099995373,24.892264099995373,25.76147779999883,r,1,0.8601769000233617,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
BLUE,blue,C,b,1,1,5,3,25.778250400006073,,,,,,25.763341000012588,25.778250400006073,26.276196899998467,26.276196899998467,26.276196899998467,27.21220710000489,b,1,0.9306243000028189,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,blue,I,b,1,2,6,1,27.231256300001405,,,,,,27.214172300009523,27.231256300001405,27.726743700011866,27.726743700011866,27.726743700011866,28.513010199996643,b,1,0.7832416000019293,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
YELLOW,yellow,C,y,1,3,7,2,28.529390799987596,,,,,,28.514913099992555,28.529390799987596,29.027199600008316,29.027199600008316,29.027199600008316,29.946328999998514,y,1,0.9052265000063926,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
BLUE,blue,C,b,2,0,8,3,29.962544100009836,,,,,,29.94819950000965,29.962544100009836,30.461107899987837,30.461107899987837,30.461107899987837,31.246872499992605,b,1,0.7759861999948043,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
YELLOW,yellow,C,y,2,1,9,2,31.263901300000725,,,,,,31.248749899998074,31.263901300000725,31.761624700011453,31.761624700011453,31.761624700011453,32.49757849998423,y,1,0.7263655999850016,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,blue,I,b,2,2,10,1,32.51401119999355,,,,,,32.49949099999503,32.51401119999355,33.01203839998925,33.01203839998925,33.01203839998925,34.66484969999874,b,1,1.6423822999931872,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,red,C,r,2,3,11,0,34.679345499986084,,,,,,34.666729899996426,34.679345499986084,35.179519600002095,35.179519600002095,35.179519600002095,35.8153389999934,r,1,0.630849200009834,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
BLUE,blue,C,b,3,0,12,3,35.83626519999234,,,,,,35.81721549999202,35.83626519999234,36.330020599998534,36.330020599998534,36.330020599998534,37.049339999997756,b,1,0.7120649999997113,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,blue,I,b,3,1,13,1,37.06519809999736,,,,,,37.051265799993416,37.06519809999736,37.56385219999356,37.56385219999356,37.56385219999356,39.31680050000432,b,1,1.7443896000040695,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
YELLOW,yellow,C,y,3,2,14,2,39.33396129999892,,,,,,39.31873020000057,39.33396129999892,39.83131829998456,39.83131829998456,39.83131829998456,40.60138869998627,y,1,0.7665755999914836,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,red,C,r,3,3,15,0,40.61735119999503,,,,,,40.603244600002654,40.61735119999503,41.11511889999383,41.11511889999383,41.11511889999383,41.95094129999052,r,1,0.8190569000144023,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
YELLOW,yellow,C,y,4,0,16,2,41.96652310001082,,,,,,41.95282989999396,41.96652310001082,42.46565689999261,42.46565689999261,42.46565689999261,43.201803700008895,y,1,0.7295418000139762,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
BLUE,blue,C,b,4,1,17,3,43.21877879998647,,,,,,43.20370519999415,43.21877879998647,43.716153999994276,43.716153999994276,43.716153999994276,44.41876929998398,b,1,0.6927881000156049,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,blue,I,b,4,2,18,1,44.43433069999446,,,,,,44.42065960000036,44.43433069999446,44.9332516999857,44.9332516999857,44.9332516999857,45.9192553999892,b,1,0.9830419000063557,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,red,C,r,4,3,19,0,45.933680199988885,,,,,,45.921143899991876,45.933680199988885,46.4338693000027,46.4338693000027,46.4338693000027,47.15274940000381,r,1,0.7012611999816727,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,blue,I,b,5,0,20,1,47.16744150000159,,,,,,47.154627899988554,47.16744150000159,47.66766330000246,47.66766330000246,47.66766330000246,48.503592299995944,b,1,0.8272162000066601,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
YELLOW,yellow,C,y,5,1,21,2,48.52044630001183,,,,,,48.50546359998407,48.52044630001183,49.01815610000631,49.01815610000631,49.01815610000631,49.887527099985164,y,1,0.8658884999749716,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
BLUE,blue,C,b,5,2,22,3,49.90443930000765,,,,,,49.88942439999664,49.90443930000765,50.40207710000686,50.40207710000686,50.40207710000686,51.23791689999052,b,1,0.8223295999923721,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
RED,red,C,r,5,3,23,0,51.254522500006715,,,,,,51.239793199987616,51.254522500006715,51.752525699994294,51.752525699994294,51.752525699994294,52.52170829998795,r,1,0.7638624999963213,None,,,,,,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,52.52313379998668,52.53617229999509,53.536568799987435,53.52121539998916,594192,001,2024-08-16_12h00.45.556,strooptask,2024.1.5,None,2024-08-16 12h00.56.914084 +0530,
