study_test,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testroutine.started,text_2.started,textbox.started,text_3.started,mouse.started,testroutine.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,,,,0,0,0,5,,,,,0.038597799837589264,,0.00654119998216629,0.038597799837589264,0.038597799837589264,7.013345500454307,1.9851851851851852,6.983382900245488,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
book,,,,0,1,1,0,,,,,7.028865800239146,,7.0136887999251485,7.028865800239146,7.028865800239146,8.797510400414467,1.9037037037037037,1.7616971004754305,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
cruise,,,,0,2,2,11,,,,,8.813593500293791,,8.797758400440216,8.813593500293791,8.813593500293791,10.69801149982959,2.8,1.8833178002387285,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
poster ,,,,0,3,3,14,,,,,10.712861900217831,,10.69825780019164,10.712861900217831,10.712861900217831,12.165361699648201,1.5925925925925926,1.4491838999092579,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
board,,,,0,4,4,4,,,,,12.181143100373447,,12.165604899637401,12.181143100373447,12.181143100373447,13.487796200439334,2.0777777777777775,1.2937823999673128,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
marble,,,,0,5,5,3,,,,,13.506952700205147,,13.488324300386012,13.506952700205147,13.506952700205147,14.454123499803245,1.2074074074074075,0.9351057996973395,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
keys,,,,0,6,6,13,,,,,14.47837860044092,,14.45473220013082,14.47837860044092,14.47837860044092,15.589944600127637,2.6555555555555554,1.109850600361824,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
phone,,,,0,7,7,2,,,,,15.605746099725366,,15.590192699804902,15.605746099725366,15.605746099725366,16.507744800299406,3.9925925925925925,0.886926400475204,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
pastry,,,,0,8,8,9,,,,,16.526438900269568,,16.508308100514114,16.526438900269568,16.526438900269568,17.476902400143445,3.6148148148148147,0.943886399269104,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
cushion ,,,,0,9,9,1,,,,,17.49429429974407,,17.477252800017595,17.49429429974407,17.49429429974407,18.184406500309706,4.574074074074074,0.6828576000407338,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
mouse,,,,0,10,10,8,,,,,18.19917600043118,,18.184666199609637,18.19917600043118,18.19917600043118,19.05126759968698,2.977777777777778,0.8484311001375318,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
case ,,,,0,11,11,10,,,,,19.066849599592388,,19.051517699845135,19.066849599592388,19.066849599592388,19.910443199798465,5,0.828371699899435,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
police,,,,0,12,12,12,,,,,19.934310699813068,,19.91120269987732,19.934310699813068,19.934310699813068,20.768683400005102,3.9333333333333336,0.8295998992398381,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
chart,,,,0,13,13,6,,,,,20.783531200140715,,20.768944200128317,20.783531200140715,20.783531200140715,21.58559579961002,2.4,0.7945530004799366,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
T-shirt,,,,0,14,14,7,,,,,21.601732700131834,,21.585845299996436,21.601732700131834,21.601732700131834,22.396161200478673,3.2296296296296294,0.787499999627471,,,,,,,,,,,,,,,WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
,p_st_y,pastry,old ,,,,,0,0,0,4,22.415823499672115,,,,,,,,22.40337620023638,22.415823499672115,22.415823499672115,22.415823499672115,0.009516299702227116,26.868890800513327,pastry,[0.021296296296296296],[-0.31203703703703706],[1],[0],[0],[4.462621700018644],['text_3'],WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
,p_st_r,poster,old,,,,,0,1,1,9,26.884739100001752,,,,,,,,26.869735199958086,26.884739100001752,26.884739100001752,26.884739100001752,0.0018480001017451286,31.120433599688113,poster,[0.021296296296296296],[-0.31203703703703706],[1],[0],[0],[4.248635199852288],['text_3'],WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
,_o__d,board,old ,,,,,0,2,2,10,31.136677799746394,,,,,,,,31.12095359992236,31.136677799746394,31.136677799746394,31.136677799746394,0.0018352000042796135,34.45503470022231,board,[0.021296296296296296],[-0.31203703703703706],[1],[0],[0],[3.332004200667143],['text_3'],WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
,c_s_io_,cushion,old ,,,,,0,3,3,12,34.470850800164044,,,,,,,,34.45554499980062,34.470850800164044,34.470850800164044,34.470850800164044,0.001845499500632286,39.79059110023081,cushion,[0.021296296296296296],[-0.31203703703703706],[1],[0],[0],[5.332873100414872],['text_3'],WP3,001,2024-11-11_11h41.20.691,wordpriming,2024.1.5,None,2024-11-11 11h41.34.421996 +0530,
